step;count_supply;gov_wealth;construction_wealth;company_wealth;bank_wealth;calculate_houses_prices_perm2;supply_volume;demand_volume;rental_supply_volume;rental_demand_volume;calculate_prices_in_supply;irs;vat;subsidyRate;salaryRate;births;breakups;deaths;children_leaving_home;n_of_households;subsidiesPaid;ivaCollected;irsCollected;companyServicesPaid;inheritagesFlow;constructionLabor;rawSalariesPaid;liquidSalariesReceived;expensesReceived;transactions_per_region;rents_per_region;number_of_houses_built_per_region;supply_per_bucket;demand_per_bucket;newly_built_houses_for_sale;mortgages_per_step;houses_for_sale;contractRents
26;3;1.0619237630457996e8;1.5944806430412459e6;7.861709488575056e7;7.55415667670251e7;2044.0349519800307;Dict{HouseLocation, Int64}(Oeiras => 4);Dict{HouseLocation, Int64}(Oeiras => 113);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 112);1283.294259881959;0.24000000000000002;0.18;0.98;1.0;2;1;1;2;1252;153871.30299039342;414218.70938660286;1.4525811991215618e6;2.352e6;0.0;60620.36463898519;3.9885087114583342e6;2.5359275123367724e6;1.8869963427611943e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0072, 255399.95073827542, Oeiras), Transaction(0x0072, 233620.2676012545, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 1, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 23, LessThan125 => 11, More => 13, LessThan50 => 11));House[House(0x008a, Oeiras, NotSocialNeighbourhood, 1.0, 6)];Mortgage[Mortgage(206312.78262144607, 203295.19997504365, 10, 0x0168), Mortgage(200759.17984762084, 198851.32938636237, 10, 0x01c8)];House[House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x008a, Oeiras, NotSocialNeighbourhood, 1.0, 6)];Dict{HouseLocation, Float64}(Oeiras => 5.246756121326427)
27;3;1.0570834636383492e8;1.4789334883962702e6;7.888582540430164e7;7.547904015783416e7;2048.33640960038;Dict{HouseLocation, Int64}(Oeiras => 4);Dict{HouseLocation, Int64}(Oeiras => 123);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 115);1270.4613172831394;0.24000000000000002;0.18;0.98;1.0;4;0;1;1;1254;153766.40125023352;419900.6309015439;1.4544441378106237e6;2.352e6;0.0;44147.154644975955;3.996150133333336e6;2.541705995522701e6;1.9128806518848056e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0056, 194283.2736377856, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 1, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 22, LessThan125 => 12, More => 11, LessThan50 => 12));House[House(0x008a, Oeiras, NotSocialNeighbourhood, 1.0, 6)];Mortgage[Mortgage(90000.83803551934, 87591.21665109362, 9, 0x00e4)];House[House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x008a, Oeiras, NotSocialNeighbourhood, 1.0, 6), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1)];Dict{HouseLocation, Float64}(Oeiras => 5.246756121326427)
28;2;1.0531379117153883e8;1.5045435574040127e6;7.91654123520235e7;7.531204955369984e7;2041.1592000419641;Dict{HouseLocation, Int64}(Oeiras => 3);Dict{HouseLocation, Int64}(Oeiras => 124);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 116);1044.2667197239778;0.24000000000000002;0.18;0.98;1.0;2;0;2;0;1255;153864.00907873345;422466.2129527504;1.4538108026959903e6;2.352e6;0.0;44147.154644975955;3.99698135572917e6;2.5431705530331754e6;1.9245683034514175e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x008a, 232157.22365271812, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 19, LessThan125 => 14, More => 14, LessThan50 => 17));House[];Mortgage[Mortgage(195029.02147127656, 191533.82677697687, 8, 0x0114)];House[House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1)];Dict{HouseLocation, Float64}(Oeiras => 5.246756121326427)
29;4;1.048898871998225e8;1.328796402759037e6;7.944977211222549e7;7.525864325970088e7;2040.5155586042015;Dict{HouseLocation, Int64}(Oeiras => 4);Dict{HouseLocation, Int64}(Oeiras => 132);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 117);1803.0538257258054;0.24000000000000002;0.18;0.98;1.0;2;0;2;5;1258;153843.07627873332;423436.0384056789;1.4535163736409908e6;2.352e6;0.0;44147.154644975955;3.9966266369791664e6;2.5431102633381714e6;1.9289863971814248e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x002f, 94361.42272808033, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 1, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 1, More => 0, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 19, LessThan125 => 16, More => 13, LessThan50 => 15));House[House(0x0087, Oeiras, NotSocialNeighbourhood, 1.0, 83)];Mortgage[Mortgage(82526.63569511077, 81685.92390778671, 7, 0x0168)];House[House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0063, Oeiras, NotSocialNeighbourhood, 1.0, 87), House(0x0087, Oeiras, NotSocialNeighbourhood, 1.0, 83)];Dict{HouseLocation, Float64}(Oeiras => 5.246756121326427)
30;4;1.0449750882052612e8;1.1168606924997726e6;7.970207368980011e7;7.484671734168988e7;2065.4101430016417;Dict{HouseLocation, Int64}(Oeiras => 7);Dict{HouseLocation, Int64}(Oeiras => 125);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 122);1636.6095202324466;0.24000000000000002;0.18;0.98;1.0;2;0;1;3;1260;154142.04533606666;417776.90532889345;1.4551079794534887e6;2.352e6;0.0;41135.710259264524;4.0029043244791664e6;2.5477963450256744e6;1.9032059020538463e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0063, 262254.10083210055, Oeiras), Transaction(0x0038, 120873.36727374377, Oeiras), Transaction(0x0060, 257593.392874014, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 1, LessThan125 => 0, More => 1, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 19, LessThan125 => 20, More => 15, LessThan50 => 8));House[House(0x0087, Oeiras, NotSocialNeighbourhood, 1.0, 83)];Mortgage[Mortgage(121159.2875128744, 120040.37325022167, 6, 0x015c), Mortgage(102146.6525319664, 101203.32124679271, 6, 0x015c), Mortgage(218134.31444395462, 216610.7233241783, 6, 0x0198)];House[House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0087, Oeiras, NotSocialNeighbourhood, 1.0, 83), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0045, Oeiras, NotSocialNeighbourhood, 1.0, 33)];Dict{HouseLocation, Float64}(Oeiras => 5.254573300293612)
31;4;1.0416247537930736e8;853491.9544708494;7.998357970827943e7;7.464386967843029e7;2056.851641263554;Dict{HouseLocation, Int64}(Oeiras => 5);Dict{HouseLocation, Int64}(Oeiras => 121);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 123);1724.215409900728;0.24000000000000002;0.18;0.98;1.0;5;1;2;4;1263;154781.89259801328;424570.8986068125;1.455390179710155e6;2.352e6;0.0;72968.73802892334;4.0046502973958333e6;2.5492601176856784e6;1.9341563158754786e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0045, 141982.17724429956, Oeiras), Transaction(0x005b, 144259.840565458, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 1, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 1, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 13, LessThan125 => 16, More => 12, LessThan50 => 10));House[House(0x0087, Oeiras, NotSocialNeighbourhood, 1.0, 83), House(0x0032, Oeiras, NotSocialNeighbourhood, 1.0, 77)];Mortgage[Mortgage(113019.11796326557, 112041.36409424523, 5, 0x0144), Mortgage(121407.02774058681, 120662.30143054423, 5, 0x018c)];House[House(0x0087, Oeiras, NotSocialNeighbourhood, 1.0, 83), House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0032, Oeiras, NotSocialNeighbourhood, 1.0, 77)];Dict{HouseLocation, Float64}(Oeiras => 5.254573300293612)
32;3;1.037365730874711e8;1.1302634408005807e6;8.026928933956246e7;7.428452259183961e7;2073.715649785906;Dict{HouseLocation, Int64}(Oeiras => 6);Dict{HouseLocation, Int64}(Oeiras => 129);Dict{HouseLocation, Int64}(Oeiras => 1);Dict{HouseLocation, Int64}(Oeiras => 127);1390.4213664838683;0.24000000000000002;0.18;0.98;1.0;2;0;0;3;1266;154676.94182061337;427522.27580755576;1.4582912670601592e6;2.352e6;0.0;64912.65974956563;4.013891847395831e6;2.5556005803356706e6;1.947601478678869e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0087, 312312.722547256, Oeiras), Transaction(0x0032, 125971.42353204095, Oeiras), Transaction(0x0026, 89282.49682254026, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[Transaction(0x005b, 606.2139236957222, Oeiras)]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 1, More => 0, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 22, LessThan125 => 18, More => 11, LessThan50 => 10));House[];Mortgage[Mortgage(233380.14529297454, 230822.17508883524, 4, 0x00f0), Mortgage(107176.20605448654, 106621.48165691522, 4, 0x0180), Mortgage(51492.84521143002, 51114.617333155904, 4, 0x0138)];House[House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0057, Oeiras, NotSocialNeighbourhood, 1.0, 71)];Dict{HouseLocation, Float64}(Oeiras => 5.262815670956762)
33;2;1.0334767171873175e8;932350.781051015;8.05675752953559e7;7.397028302610174e7;2067.418767305232;Dict{HouseLocation, Int64}(Oeiras => 5);Dict{HouseLocation, Int64}(Oeiras => 125);Dict{HouseLocation, Int64}(Oeiras => 1);Dict{HouseLocation, Int64}(Oeiras => 128);993.0872598992148;0.24000000000000002;0.18;0.98;1.0;5;0;1;4;1269;155220.85238991334;431459.4221940177;1.4596602488518246e6;2.352e6;0.0;64912.65974956563;4.019251411979163e6;2.55959116312734e6;1.9655373677727508e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0057, 191008.45015516822, Oeiras), Transaction(0x004b, 137879.89613789108, Oeiras), Transaction(0x0036, 96689.44678495415, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0036, 411.4750449778017, Oeiras)]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 18, LessThan125 => 18, More => 15, LessThan50 => 11));House[];Mortgage[Mortgage(153506.0340391911, 152607.3211166745, 3, 0x012c), Mortgage(119517.42020935722, 119143.91921774083, 3, 0x01b0), Mortgage(76093.43118070462, 75674.93542763633, 3, 0x0138)];House[House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1)];Dict{HouseLocation, Float64}(Oeiras => 5.270646543280259)
34;2;1.0295810877374052e8;727438.1213014494;8.081543898936513e7;7.400688576423496e7;2067.418767305232;Dict{HouseLocation, Int64}(Oeiras => 2);Dict{HouseLocation, Int64}(Oeiras => 127);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 127);983.1563873002226;0.24000000000000002;0.18;0.98;1.0;3;0;1;2;1271;154999.56494815342;422017.0096987035;1.4618904444664074e6;2.352e6;0.0;64912.65974956563;4.0266582390625025e6;2.5647677945960904e6;1.9225219330718757e6;Dict{Any, Any}(Oeiras => Transaction[]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 20, LessThan125 => 16, More => 10, LessThan50 => 15));House[];Mortgage[];House[House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1)];Dict{HouseLocation, Float64}(Oeiras => 5.270646543280259)
35;2;1.024435578740097e8;662525.4615518837;8.111890170677093e7;7.389753974378935e7;2065.2982817882025;Dict{HouseLocation, Int64}(Oeiras => 3);Dict{HouseLocation, Int64}(Oeiras => 127);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 129);973.3248234272205;0.24000000000000002;0.18;0.98;1.0;4;0;3;6;1274;154267.24750501188;435041.65534529486;1.4631455266371912e6;2.352e6;0.0;64912.65974956563;4.0303937125000004e6;2.5672481858628085e6;1.9818564299063468e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0059, 171921.984785166, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 12, LessThan125 => 15, More => 10, LessThan50 => 14));House[];Mortgage[Mortgage(145948.75857883203, 145770.89460958465, 1, 0x018c)];House[House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2)];Dict{HouseLocation, Float64}(Oeiras => 5.270646543280259)
36;2;1.0202697060654345e8;520612.8018023181;8.136604056715947e7;7.393480684175375e7;2065.2982817882025;Dict{HouseLocation, Int64}(Oeiras => 2);Dict{HouseLocation, Int64}(Oeiras => 125);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 132);963.5915751929483;0.25;0.19;0.97;1.0;2;0;0;0;1275;155095.96637501183;429978.47880490177;1.466001054312189e6;2.328e6;0.0;64912.65974956563;4.039651987499997e6;2.5736509331878093e6;1.9587908478889982e6;Dict{Any, Any}(Oeiras => Transaction[]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 18, LessThan125 => 17, More => 9, LessThan50 => 14));House[];Mortgage[];House[House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1), House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2)];Dict{HouseLocation, Float64}(Oeiras => 5.313548158793185)
